Trial,Martingale,Flat Betting,Reverse Martingale,D'Alembert,Fibonacci
5,490.4,492.4,448.4,508.4,436.2
10,518.4,491.4,450.0,500.7,462.3
15,507.3333333333333,491.2,450.73333333333335,491.2,480.6
20,486.8,492.8,456.55,472.6,490.55
25,487.52,493.36,455.56,477.36,493.84
30,497.6,495.06666666666666,454.53333333333336,479.6666666666667,484.96666666666664
35,505.4,494.62857142857143,453.9428571428571,480.77142857142854,478.0571428571429
40,507.775,493.8,452.975,478.675,482.475
45,505.2,494.22222222222223,452.9111111111111,477.8666666666667,486.4
50,509.14,493.64,452.54,480.88,481.1
55,507.45454545454544,493.7818181818182,453.09090909090907,485.03636363636366,484.2
60,510.73333333333335,493.8,453.53333333333336,486.8,487.1
65,513.6769230769231,493.9076923076923,453.0615384615385,486.7692307692308,489.53846153846155
70,508.8857142857143,493.8857142857143,453.2,482.25714285714287,491.5857142857143
75,504.4,493.68,453.04,483.8,492.6
80,507.4,494.05,452.6375,485.5375,488.8625
85,509.50588235294117,494.8941176470588,452.6,485.6235294117647,490.08235294117645
90,510.6333333333333,495.0888888888889,452.3666666666667,483.23333333333335,491.6111111111111
95,512.6421052631579,495.6,452.33684210526314,482.8,493.12631578947367
100,508.28,495.58,452.25,483.14,490.47
